Usuario,A->A,A->D,A->E,A->F,A->P,A->V,D->A,D->D,D->E,D->F,D->P,D->V,E->A,E->D,E->E,E->F,E->P,E->V,F->A,F->D,F->E,F->F,F->P,F->V,P->A,P->D,P->E,P->F,P->P,P->V,V->A,V->D,V->E,V->F,V->P,V->V
6289962,0.20141342756183744,0.0,0.0,0.0176678445229682,0.01060070671378092,0.0176678445229682,0.0,0.19434628975265017,0.0,0.0035335689045936395,0.0035335689045936395,0.01060070671378092,0.01060070671378092,0.0,0.10954063604240283,0.0035335689045936395,0.0,0.0989399293286219,0.0176678445229682,0.007067137809187279,0.0,0.04946996466431095,0.0035335689045936395,0.014134275618374558,0.0,0.0,0.0,0.0035335689045936395,0.0,0.01060070671378092,0.0176678445229682,0.007067137809187279,0.11307420494699646,0.014134275618374558,0.0,0.06007067137809187
6525647,0.32967032967032966,0.0,0.01098901098901099,0.01098901098901099,0.0,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.0,0.0,0.0,0.0,0.01098901098901099,0.0,0.26373626373626374,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.01098901098901099,0.01098901098901099,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.01098901098901099,0.0,0.14285714285714285,0.0,0.0,0.01098901098901099
2597118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285
6705179,0.3302752293577982,0.009174311926605505,0.0,0.0,0.0,0.06422018348623854,0.009174311926605505,0.06422018348623854,0.0,0.0,0.0,0.009174311926605505,0.01834862385321101,0.0,0.1743119266055046,0.0,0.0,0.11926605504587157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045871559633027525,0.0,0.13761467889908258,0.0,0.0,0.01834862385321101
2753846,0.0975609756097561,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.21951219512195122,0.0,0.0,0.24390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.2682926829268293,0.0,0.0,0.0975609756097561
5265632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.07407407407407407,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.07407407407407407,0.0,0.0,0.37037037037037035
434843,0.30434782608695654,0.0,0.0,0.0,0.0,0.017391304347826087,0.0,0.008695652173913044,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.19130434782608696,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008695652173913044,0.008695652173913044,0.1391304347826087,0.0,0.0,0.1826086956521739
6207192,0.2947976878612717,0.011560693641618497,0.0,0.005780346820809248,0.0,0.005780346820809248,0.017341040462427744,0.2947976878612717,0.023121387283236993,0.0,0.0,0.017341040462427744,0.005780346820809248,0.011560693641618497,0.1676300578034682,0.0,0.0,0.046242774566473986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028901734104046242,0.04046242774566474,0.0,0.0,0.028901734104046242
6600881,0.22058823529411764,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.014705882352941176,0.0,0.0,0.0,0.014705882352941176,0.0,0.014705882352941176,0.14705882352941177,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.10294117647058823,0.0,0.0,0.3382352941176471
6193597,0.28169014084507044,0.0,0.0,0.0,0.007042253521126761,0.007042253521126761,0.0,0.04929577464788732,0.0,0.0,0.0,0.028169014084507043,0.014084507042253521,0.0,0.18309859154929578,0.0,0.0,0.13380281690140844,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.007042253521126761,0.014084507042253521,0.14788732394366197,0.007042253521126761,0.0,0.1056338028169014
5922637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.04,0.0,0.0,0.2,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.0,0.0,0.32
