Usuario,A->A,A->D,A->E,A->F,A->P,A->V,D->A,D->D,D->E,D->F,D->P,D->V,E->A,E->D,E->E,E->F,E->P,E->V,F->A,F->D,F->E,F->F,F->P,F->V,P->A,P->D,P->E,P->F,P->P,P->V,V->A,V->D,V->E,V->F,V->P,V->V
3438717,24,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1
6015544,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
6395370,0,0,0,0,0,0,0,35,0,0,0,1,0,1,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2
6534018,0,0,0,0,0,0,0,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4990506,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7
6310138,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1198177,21,1,1,0,0,0,1,2,2,0,0,0,1,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6556505,0,0,0,0,0,0,0,23,0,0,0,1,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1
6541282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1
2382900,34,0,0,0,2,5,0,0,1,0,0,2,0,1,22,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2,7,1,17,0,0,15
6527105,62,0,0,0,2,2,0,0,0,0,0,0,2,0,40,0,1,21,0,0,0,0,0,0,1,0,0,0,1,2,2,0,24,0,0,7
6401413,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4380642,58,0,0,1,2,4,0,0,0,0,0,0,6,0,35,0,0,24,0,0,0,1,1,0,0,0,0,1,0,4,1,0,30,0,2,7
2375682,56,1,1,0,3,5,0,8,0,0,0,3,5,0,33,0,0,27,0,0,0,0,0,0,0,2,1,0,0,2,5,0,30,0,2,27
2190667,52,1,0,0,0,5,0,10,0,0,0,3,3,0,21,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,4,1,29,0,0,10
