MLPClassifier__01;6421806;0;[0.998805713958, 0.00119428604185]
MLPClassifier__01;4070205;0;[0.92739040875, 0.0726095912504]
MLPClassifier__01;6229333;0;[0.996583771542, 0.00341622845834]
MLPClassifier__01;6413282;0;[0.999482902016, 0.000517097983676]
MLPClassifier__01;2911656;0;[0.994829729723, 0.00517027027705]
MLPClassifier__01;3869317;0;[0.999979119726, 2.08802739791e-05]
MLPClassifier__01;458143;0;[0.992766314722, 0.00723368527798]
MLPClassifier__01;6515832;0;[0.999999999998, 1.78880107521e-12]
MLPClassifier__01;6467601;0;[0.995420193892, 0.00457980610814]
MLPClassifier__01;2599294;0;[0.997510539617, 0.00248946038297]
MLPClassifier__01;3209669;0;[0.994208693369, 0.0057913066307]
MLPClassifier__01;79563;0;[0.999999995748, 4.25179479013e-09]
MLPClassifier__01;737672;0;[0.999161334096, 0.000838665903756]
MLPClassifier__01;6412094;0;[0.950509192581, 0.0494908074192]
MLPClassifier__01;6416809;0;[0.946658376332, 0.0533416236677]
MLPClassifier__01;6582581;0;[0.97372364393, 0.0262763560702]
MLPClassifier__01;5056396;0;[0.856871414405, 0.143128585595]
MLPClassifier__01;6546156;0;[0.999976739637, 2.32603629881e-05]
MLPClassifier__01;117717;0;[0.996782194008, 0.0032178059917]
MLPClassifier__01;6337623;0;[0.976854166184, 0.0231458338161]
MLPClassifier__01;6403974;0;[0.999994175588, 5.82441207597e-06]
MLPClassifier__01;5644778;0;[0.889184061994, 0.110815938006]
MLPClassifier__01;6423065;0;[0.730971535015, 0.269028464985]
MLPClassifier__01;6381764;0;[0.999996468767, 3.53123302478e-06]
MLPClassifier__01;6496544;0;[0.999999217579, 7.82421324016e-07]
MLPClassifier__01;6492510;0;[0.999999729273, 2.70727322254e-07]
MLPClassifier__01;515705;0;[0.785704213901, 0.214295786099]
MLPClassifier__01;6528434;0;[0.994771314791, 0.00522868520935]
MLPClassifier__01;5428157;0;[0.992768744514, 0.00723125548569]
MLPClassifier__01;5190785;0;[0.999999995395, 4.60454889767e-09]
MLPClassifier__01;6115917;0;[0.99319093622, 0.00680906378025]
MLPClassifier__01;6420623;0;[0.951388419907, 0.0486115800925]
MLPClassifier__01;5265632;0;[0.998088714144, 0.0019112858565]
MLPClassifier__01;6594000;0;[0.934161739944, 0.0658382600562]
MLPClassifier__01;6134073;0;[0.999999996161, 3.83854943489e-09]
MLPClassifier__01;5224678;0;[0.984912342657, 0.0150876573434]
MLPClassifier__01;6445709;0;[0.999908498447, 9.1501552631e-05]
MLPClassifier__01;6737374;0;[0.995853631083, 0.00414636891684]
MLPClassifier__01;3720896;0;[1.0, 7.02067431075e-39]
MLPClassifier__01;6303615;0;[1.0, 6.30029001349e-21]
MLPClassifier__01;5994288;0;[0.958617349484, 0.0413826505164]
MLPClassifier__01;846592;0;[0.992790742977, 0.00720925702279]
MLPClassifier__01;6453717;0;[0.999999999899, 1.01228564898e-10]
MLPClassifier__01;1587193;0;[0.986432593424, 0.0135674065759]
MLPClassifier__01;1654063;0;[0.99392453771, 0.00607546229029]
MLPClassifier__01;4778907;0;[0.999498698059, 0.000501301941038]
MLPClassifier__01;72673;0;[0.812736155148, 0.187263844852]
MLPClassifier__01;4286151;0;[0.999542025435, 0.000457974564965]
MLPClassifier__01;6302330;0;[0.993370264616, 0.00662973538432]
MLPClassifier__01;5037946;0;[0.990591707619, 0.00940829238138]
MLPClassifier__01;6776128;0;[0.925837077352, 0.0741629226482]
MLPClassifier__01;201081;0;[0.985011399738, 0.0149886002617]
MLPClassifier__01;1859772;0;[0.478830015782, 0.521169984218]
MLPClassifier__01;6576916;0;[0.998498773553, 0.00150122644668]
MLPClassifier__01;392795;0;[0.999899156983, 0.000100843017057]
MLPClassifier__01;6456836;0;[0.999990137354, 9.86264618386e-06]
MLPClassifier__01;6172477;0;[0.99987878701, 0.000121212989783]
MLPClassifier__01;3670039;0;[0.987294883656, 0.0127051163441]
MLPClassifier__01;6226751;0;[0.78575339605, 0.21424660395]
MLPClassifier__01;43208;0;[0.992409731223, 0.00759026877719]
MLPClassifier__01;5521791;0;[0.999993757138, 6.24286225084e-06]
MLPClassifier__01;3215673;0;[0.999999957991, 4.20090126777e-08]
MLPClassifier__01;6738710;0;[0.991201512135, 0.0087984878651]
MLPClassifier__01;6764210;0;[0.999999998224, 1.77626336677e-09]
MLPClassifier__01;3763083;0;[0.99694251309, 0.00305748690964]
MLPClassifier__01;4559844;0;[0.995992175901, 0.00400782409885]
MLPClassifier__01;1655213;0;[0.999989397932, 1.06020679407e-05]
MLPClassifier__01;6711142;1;[0.0438173137178, 0.956182686282]
MLPClassifier__01;73141;0;[0.976724632494, 0.0232753675055]
MLPClassifier__01;3378039;0;[0.999990856024, 9.14397595997e-06]
MLPClassifier__01;4546850;0;[0.997569328973, 0.00243067102661]
MLPClassifier__01;4398508;0;[0.992158855241, 0.00784114475888]
