Usuario|NumEventos_Ed1|NumInteraccVideos_Ed1|NumInteraccProy_Ed1|NumInteraccDoc_Ed1|NumInteraccForo_Ed1|NumInteraccProb_Ed1|NumInteraccEjer_Ed1|NumInteraccActiv_Ed1|NumProbCorrect_Ed1|NumProbAttepts_Ed1|NotaProy_Ed1|WordsForum_Ed1|A->A_Ed1|A->D_Ed1|A->E_Ed1|A->F_Ed1|A->P_Ed1|A->V_Ed1|D->A_Ed1|D->D_Ed1|D->E_Ed1|D->F_Ed1|D->P_Ed1|D->V_Ed1|E->A_Ed1|E->D_Ed1|E->E_Ed1|E->F_Ed1|E->P_Ed1|E->V_Ed1|F->A_Ed1|F->D_Ed1|F->E_Ed1|F->F_Ed1|F->P_Ed1|F->V_Ed1|P->A_Ed1|P->D_Ed1|P->E_Ed1|P->F_Ed1|P->P_Ed1|P->V_Ed1|V->A_Ed1|V->D_Ed1|V->E_Ed1|V->F_Ed1|V->P_Ed1|V->V_Ed1|NumSEJavaCorrect|suspect
6760278|500|451|1|0|1|14|0|0|9|14|3|16|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.04|0.0|0.0|0.0|0.0|0.0|0.04|0.0|0.0|0.0|0.04|0.04|0.84|9|0
676108|202|151|0|7|1|24|14|10|29|27|0|0|0.1875|0.0|0.0|0.0|0.0|0.0|0.0|0.10416666666666667|0.0|0.0|0.0|0.041666666666666664|0.0|0.0|0.10416666666666667|0.0|0.0|0.1875|0.020833333333333332|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.020833333333333332|0.1875|0.020833333333333332|0.0|0.125|0|0
6762489|93|12|0|2|0|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3333333333333333|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3333333333333333|0.0|0.0|0.0|0.3333333333333333|0|0
6764210|670|588|0|12|0|18|4|0|14|18|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2894736842105263|0.0|0.0|0.0|0.02631578947368421|0.0|0.0|0.02631578947368421|0.0|0.0|0.07894736842105263|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.02631578947368421|0.07894736842105263|0.0|0.0|0.47368421052631576|11|0
6764853|251|178|0|38|0|15|0|0|8|16|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.7555555555555555|0.0|0.0|0.0|0.06666666666666667|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.06666666666666667|0.0|0.0|0.0|0.1111111111111111|8|0
6767840|92|79|0|1|0|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1111111111111111|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.8888888888888888|0|0
6769237|227|208|0|1|0|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.08333333333333333|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.9166666666666666|0|0
6770087|182|74|0|38|0|1|0|0|0|1|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.6|0.0|0.0|0.0|0.16|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.16|0.0|0.0|0.0|0.08|0|0
6771534|187|167|0|0|0|7|0|0|5|7|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|5|0
677539|786|669|3|3|3|55|44|11|46|56|24|0|0.08823529411764706|0.0|0.0|0.0|0.0|0.00980392156862745|0.0|0.0196078431372549|0.0|0.0|0.0|0.00980392156862745|0.00980392156862745|0.0|0.19607843137254902|0.0|0.0|0.22549019607843138|0.0|0.0|0.0|0.00980392156862745|0.00980392156862745|0.00980392156862745|0.0|0.0|0.0|0.0|0.00980392156862745|0.0196078431372549|0.00980392156862745|0.0|0.23529411764705882|0.0196078431372549|0.00980392156862745|0.10784313725490197|0|0
6776128|6|0|0|1|0|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0
6777258|124|94|0|0|0|6|0|0|1|6|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1|0
6780401|362|265|0|40|1|15|0|0|7|16|0|17|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.6440677966101694|0.0|0.01694915254237288|0.0|0.01694915254237288|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.01694915254237288|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.01694915254237288|0.0|0.0|0.0|0.288135593220339|7|0
6784715|90|57|0|10|1|14|0|0|12|14|0|11|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3333333333333333|0.0|0.0|0.0|0.2222222222222222|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.16666666666666666|0.0|0.05555555555555555|0.0|0.2222222222222222|12|0
6785128|55|33|0|0|1|15|0|0|13|16|0|11|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.25|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.25|0.0|0.5|13|0
